"2020-11-09 11:44:41 [main] INFO  c.v.d.a.DigtApiGateWayRoutingApplication - The following profiles are active: dev
""2020-11-09 11:44:41 [main] WARN  o.s.boot.actuate.endpoint.EndpointId - Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
""2020-11-09 11:44:42 [main] WARN  o.s.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
""2020-11-09 11:44:42 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=b3e45a4c-652e-34b3-9bec-80b54326df38
""2020-11-09 11:44:42 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-11-09 11:44:42 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactiveLoadBalancerConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactiveLoadBalancerConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-11-09 11:44:42 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'deferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-11-09 11:44:42 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
""2020-11-09 11:44:42 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
""2020-11-09 11:44:42 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
""2020-11-09 11:44:42 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
""2020-11-09 11:44:43 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses Jersey
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [After]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Before]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Between]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Cookie]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Header]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Host]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Method]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Path]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Query]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [ReadBodyPredicateFactory]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [RemoteAddr]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Weight]
""2020-11-09 11:44:44 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [CloudFoundryRouteService]
""2020-11-09 11:44:45 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
""2020-11-09 11:44:46 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
""2020-11-09 11:44:46 [main] WARN  o.s.c.c.l.r.ReactorLoadBalancerClientAutoConfiguration$ReactorLoadBalancerClientRibbonWarnLogger - You have RibbonLoadBalancerClient on your classpath. LoadBalancerExchangeFilterFunction that uses it under the hood will be used by default. Spring Cloud Ribbon is now in maintenance mode, so we suggest switching to ReactorLoadBalancerExchangeFilterFunction instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
""2020-11-09 11:44:46 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
""2020-11-09 11:44:46 [main] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
""2020-11-09 11:44:46 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
""2020-11-09 11:44:46 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
""2020-11-09 11:44:46 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
""2020-11-09 11:44:46 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
""2020-11-09 11:44:47 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
""2020-11-09 11:44:47 [main] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1604902487549 with initial instances count: 4
""2020-11-09 11:44:47 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application DIGT-APIGATEWAY-ROUTING with eureka with status UP
""2020-11-09 11:44:47 [main] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1604902487554, current=UP, previous=STARTING]
""2020-11-09 11:44:47 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_DIGT-APIGATEWAY-ROUTING/ANNAPURNA:DIGT-APIGATEWAY-ROUTING:9090: registering service...
""2020-11-09 11:44:47 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_DIGT-APIGATEWAY-ROUTING/ANNAPURNA:DIGT-APIGATEWAY-ROUTING:9090 - registration status: 204
""2020-11-09 11:44:48 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port(s): 9090
""2020-11-09 11:44:48 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9090
""2020-11-09 11:44:48 [main] INFO  c.v.d.a.DigtApiGateWayRoutingApplication - Started DigtApiGateWayRoutingApplication in 9.605 seconds (JVM running for 11.105)
""2020-11-09 11:44:48 [main] INFO  c.v.d.a.DigtApiGateWayRoutingApplication - *****DigtApiGateWayRoutingApplication Started********
""2020-11-09 11:47:20 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2020-11-09 11:47:20 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application DIGT-APIGATEWAY-ROUTING with eureka with status DOWN
""2020-11-09 11:47:20 [RMI TCP Connection(2)-127.0.0.1] WARN  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1604902640127, current=DOWN, previous=UP]
""2020-11-09 11:47:20 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_DIGT-APIGATEWAY-ROUTING/ANNAPURNA:DIGT-APIGATEWAY-ROUTING:9090: registering service...
"
